Paire 1;Paire 2;Nb arrets
Nom <7 lettres;Moins de 2 km du parc de proce;1
Nom <10 lettres;1 seul mot;38
Nom <10 lettres;3 mots ou plus;0
Nom <10 lettres;Lettre doublee;4
Nom <10 lettres;Dans Nantes;33
Nom <10 lettres;Autre commune;12
Nom <10 lettres;Nord Loire;30
Nom <10 lettres;Sud Loire;7
Nom <10 lettres;Moins de 1km du periph;11
Nom <10 lettres;Moins de 2 km du periph;19
Nom <10 lettres;Moins de 500m eau;14
Nom <10 lettres;Moins de 1 km eau;21
Nom <10 lettres;Moins de 1 km du chateau;8
Nom <10 lettres;Moins de 2 km du chateau;18
Nom <10 lettres;Moins de 1 km de la Tour Bretagne;7
Nom <10 lettres;Moins de 2 km de la Tour Bretagne;13
Nom <10 lettres;Moins de 1 km hippodrome;2
Nom <10 lettres;Moins de 2 km hippodrome;4
Nom <10 lettres;Moins de 1 km des machines;1
Nom <10 lettres;Moins de 2 km des machines;11
Nom <10 lettres;Moins de 1 km du stade de la Beaujoire;3
Nom <10 lettres;Moins de 2 km du stade de la Beaujoire;5
Nom <10 lettres;Moins de 1 km du parc de proce;0
Nom <10 lettres;Moins de 2 km du parc de proce;5
1 seul mot;3 mots ou plus;0
1 seul mot;Lettre doublee;9
1 seul mot;Dans Nantes;41
1 seul mot;Autre commune;13
1 seul mot;Nord Loire;34
1 seul mot;Sud Loire;9
1 seul mot;Moins de 1km du periph;12
1 seul mot;Moins de 2 km du periph;24
1 seul mot;Moins de 500m eau;16
1 seul mot;Moins de 1 km eau;27
1 seul mot;Moins de 1 km du chateau;6
1 seul mot;Moins de 2 km du chateau;22
1 seul mot;Moins de 1 km de la Tour Bretagne;7
1 seul mot;Moins de 2 km de la Tour Bretagne;17
1 seul mot;Moins de 1 km hippodrome;3
1 seul mot;Moins de 2 km hippodrome;5
1 seul mot;Moins de 1 km des machines;3
1 seul mot;Moins de 2 km des machines;13
1 seul mot;Moins de 1 km du stade de la Beaujoire;3
1 seul mot;Moins de 2 km du stade de la Beaujoire;4
1 seul mot;Moins de 1 km du parc de proce;0
1 seul mot;Moins de 2 km du parc de proce;7
3 mots ou plus;Lettre doublee;8
